Sigma;Epsilon;Void;Energy
436;0.0475;0.5211425;10.355
532.799959;0.0505;0.5163515;11.80819994
634.4;0.0545;0.5099635;14.14259986
734.599948;0.0575;0.5051725;16.19609978
832.8;0.06;0.50118;18.15534971
935;0.063;0.496389;20.80704971
1033.19991;0.066;0.491598;23.75934958
1134;0.068;0.488404;25.92654949
1234.9;0.0705;0.4844115;28.88767449
1332.9;0.072;0.482016;30.81352449
434.6;0.0685;0.4876055;27.72039949
535.5;0.069;0.486807;27.96292449
633;0.0695;0.4860085;28.25504949
834.099948;0.071;0.483613;29.35537445
1034.5;0.072;0.482016;30.28967442
1235.5;0.073;0.480419;31.42467442
1436.1;0.0745;0.4780235;33.42837442
1633;0.076;0.475628;35.73019942
1836;0.078;0.472434;39.19919942
2035;0.0805;0.4684415;44.03794942
2235.2;0.083;0.464449;49.37569942
2434.89981;0.085;0.461255;54.04579923
2232.60021;0.085;0.461255;54.04579923
2035;0.085;0.461255;54.04579923
1835.30009;0.0845;0.4620535;53.07822421
1734.9;0.0845;0.4620535;53.07822421
1635.1;0.0845;0.4620535;53.07822421
1534.6;0.0845;0.4620535;53.07822421
1435.4;0.0845;0.4620535;53.07822421
1233.5;0.0845;0.4620535;53.07822421
1134;0.0845;0.4620535;53.07822421
1034.5;0.0845;0.4620535;53.07822421
936.3;0.084;0.462852;52.58552421
833.4;0.084;0.462852;52.58552421
735.900044;0.0835;0.4636505;52.1931992
635;0.083;0.464449;51.85047419
534.2;0.082;0.466046;51.26587419
