Sigma;Epsilon
241.6;0.066
340.10002;0.0735
440.9;0.0805
541.799963;0.0865
641.299963;0.091
741.4;0.0955
841;0.1
940.5;0.1035
1041.3;0.1065
1142.1;0.1095
242.600009;0.1065
342.7;0.107
440.3;0.1075
640.599966;0.109
841.6;0.11
1041.9;0.111
1242.3;0.1125
1440.59992;0.1155
1640.9;0.119
1843.2;0.1225
2042.19985;0.1265
2241.9;0.1295
2440.19985;0.133
2241.2;0.1325
2141.39986;0.1325
2043.5;0.1325
1940.4;0.1325
1841.9;0.132
1742.7;0.132
1643.5;0.1315
1541.1;0.1315
1443.2;0.1315
1341.4;0.131
1241.59992;0.131
1141.5;0.1305
1041.9;0.13
941.1;0.1295
841.6;0.129
740.799963;0.1285
641.299963;0.128
541.099966;0.127
442.3;0.126
342.1;0.1245
242.600009;0.1225
